Species,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
arenicolus,-103.35,33.45,140,179,46,7689,326,-63,389,227,39,237,39,410,72,9,67,197,31,195,31
arenicolus,-103.35,32.56,162,166,44,7446,339,-31,370,245,82,255,64,368,62,8,64,170,31,158,32
arenicolus,-103.34,33.43,140,179,46,7689,326,-63,389,227,39,237,39,410,72,9,67,197,31,195,31
arenicolus,-103.34,32.56,162,166,44,7446,339,-31,370,245,82,255,64,368,62,8,64,170,31,158,32
arenicolus,-103.33,33.71,140,173,45,7684,325,-59,384,237,39,237,39,417,73,10,67,200,33,200,33
arenicolus,-103.33,33.43,140,179,46,7710,326,-63,389,227,39,238,39,414,72,9,67,197,32,195,32
arenicolus,-103.32,32.56,163,165,44,7452,340,-30,370,246,83,256,65,370,62,8,64,170,31,158,32
arenicolus,-103.31,33.7,140,174,45,7688,325,-59,384,238,39,238,39,415,73,10,67,199,33,199,33
arenicolus,-103.3,33.71,140,173,45,7684,325,-59,384,237,39,237,39,417,73,10,67,200,33,200,33
arenicolus,-103.3,33.7,140,174,45,7688,325,-59,384,238,39,238,39,415,73,10,67,199,33,199,33
arenicolus,-103.3,32.6,161,166,44,7451,339,-31,370,245,81,255,64,374,62,8,63,172,31,160,33
arenicolus,-103.3,32.55,163,165,44,7452,340,-30,370,246,83,256,65,370,62,8,64,170,31,158,32
arenicolus,-103.24,32.58,164,164,44,7426,340,-27,367,247,84,258,66,375,62,8,62,172,31,159,33
arenicolus,-103.23,32.56,164,164,44,7426,340,-27,367,247,84,258,66,375,62,8,62,172,31,159,33
arenicolus,-103.21,32.56,164,164,44,7426,340,-27,367,247,84,258,66,375,62,8,62,172,31,159,33
arenicolus,-103.17,32.55,164,163,44,7390,340,-26,366,247,85,257,67,380,62,9,62,172,33,159,34
arenicolus,-103.17,32.54,165,164,44,7430,341,-26,367,248,85,259,68,375,61,9,60,169,33,156,34
arenicolus,-103.17,32.53,165,164,44,7430,341,-26,367,248,85,259,68,375,61,9,60,169,33,156,34
arenicolus,-103.15861,32.43722,168,164,44,7448,344,-24,368,251,88,261,70,366,61,9,60,165,33,151,33
arenicolus,-103.1,32.53,165,162,44,7373,339,-24,363,247,85,257,68,385,62,9,59,172,34,159,35
arenicolus,-103.1,32.5,166,163,44,7399,341,-24,365,249,87,259,69,377,61,9,59,168,34,155,35
arenicolus,-103.07,32.53,165,162,44,7390,340,-24,364,248,86,258,68,387,62,9,59,173,35,160,35
bicanthalis,-99.804,19.16,93,132,71,1168,183,-1,184,97,83,107,77,1086,210,16,82,589,67,311,69
bicanthalis,-99.8,19.138,93,132,71,1168,183,-1,184,97,83,107,77,1086,210,16,82,589,67,311,69
bicanthalis,-99.767,18.817,194,137,65,1608,302,92,210,200,173,215,173,1207,241,7,98,709,33,353,46
bicanthalis,-99.766,19.116,61,122,73,941,146,-21,167,65,48,73,48,1245,258,19,86,694,61,361,61
bicanthalis,-99.766,18.816,194,137,65,1608,302,92,210,200,173,215,173,1207,241,7,98,709,33,353,46
bicanthalis,-98.719,19.314,105,154,72,1429,207,-4,211,115,85,121,84,977,181,10,86,541,33,318,39
bicanthalis,-98.7,19.333,99,150,72,1370,199,-7,206,108,80,114,79,993,184,10,87,550,31,322,39
bicanthalis,-98.65,19.083,74,136,73,1092,167,-18,185,80,59,87,59,1004,195,7,88,559,25,326,41
bicanthalis,-98.583,20.083,118,135,67,1590,217,18,199,123,98,138,97,789,136,15,70,372,48,251,61
bicanthalis,-98.417,19.467,129,167,71,1779,240,6,234,143,103,148,103,788,157,6,90,458,20,269,20
bicanthalis,-98.416,19.466,132,167,71,1804,243,8,235,146,106,152,106,782,159,6,89,455,21,267,21
bicanthalis,-98.383,20.317,145,135,65,1881,248,43,205,152,121,168,120,911,195,15,78,464,53,254,71
bicanthalis,-98.383,20.316,145,135,65,1881,248,43,205,152,121,168,120,911,195,15,78,464,53,254,71
bicanthalis,-98.14,19.92,114,143,69,1609,217,10,207,120,93,133,92,828,145,15,72,398,46,262,59
bicanthalis,-98.067,19.7,113,152,71,1600,219,5,214,124,91,132,91,821,143,12,76,415,38,274,46
bicanthalis,-98.066,19.7,113,152,71,1600,219,5,214,124,91,132,91,821,143,12,76,415,38,274,46
bicanthalis,-98.033,19.333,128,161,71,1703,237,13,224,140,103,146,103,852,155,8,81,443,29,303,35
bicanthalis,-97.8,19.32,152,165,71,1912,263,31,232,167,124,172,124,633,121,6,78,313,25,261,25
bicanthalis,-97.333,19.5,138,142,69,1802,237,33,204,148,113,158,113,396,75,7,70,171,24,150,27
bicanthalis,-97.309,19.802,157,114,61,2102,248,63,185,163,139,182,128,1799,390,45,71,850,141,396,240
bicanthalis,-97.293,19.788,150,118,63,1985,242,56,186,155,134,174,123,1303,292,35,70,600,109,298,178
bicanthalis,-97.278,19.578,133,136,68,1836,231,32,199,144,108,154,108,456,98,11,68,201,36,149,43
bicanthalis,-97.262,19.061,48,123,73,985,136,-32,168,49,43,61,35,1955,366,39,79,1049,120,226,178
bicanthalis,-97.256,19.706,133,128,65,1945,229,35,194,144,117,155,106,659,147,18,69,294,55,186,77
bicanthalis,-97.25,19.033,71,132,73,1090,164,-16,180,73,65,84,56,1774,342,34,82,973,104,201,151
bicanthalis,-97.245,19.727,145,120,63,2006,238,50,188,155,128,168,117,1110,247,30,68,498,97,270,151
bicanthalis,-97.245,19.56,126,135,68,1789,223,27,196,136,112,146,101,581,127,13,71,275,45,172,55
bicanthalis,-97.23,19.581,126,135,68,1789,223,27,196,136,112,146,101,581,127,13,71,275,45,172,55
bicanthalis,-97.196945,18.9175,132,150,72,1481,235,29,206,138,123,148,110,1104,210,23,81,599,72,296,84
bicanthalis,-97.176,19.084,119,146,72,1392,220,19,201,124,111,135,99,1166,229,23,83,645,72,310,86
bicanthalis,-97.17,19.637,128,127,66,1919,223,31,192,138,112,149,101,780,189,20,73,370,62,193,94
bicanthalis,-97.167,19.483,83,130,72,1290,175,-5,180,88,75,98,65,1578,307,34,82,873,106,393,130
bicanthalis,-97.164,19.573,101,131,70,1465,194,8,186,107,91,118,80,1242,246,30,80,669,93,318,109
bicanthalis,-97.157,19.554,101,131,70,1465,194,8,186,107,91,118,80,1242,246,30,80,669,93,318,109
bicanthalis,-97.15,19.517,78,127,71,1265,169,-8,177,82,70,94,61,1685,333,37,82,932,116,409,145
bicanthalis,-97.142,19.508,78,127,71,1265,169,-8,177,82,70,94,61,1685,333,37,82,932,116,409,145
bicanthalis,-97.138885,19.635,132,124,65,1904,225,36,189,142,116,153,105,1066,243,28,72,514,85,256,129
bicanthalis,-97.138054,19.635555,132,124,65,1904,225,36,189,142,116,153,105,1066,243,28,72,514,85,256,129
bicanthalis,-97.137,19.633,132,124,65,1904,225,36,189,142,116,153,105,1066,243,28,72,514,85,256,129
bicanthalis,-97.134,19.638,132,124,65,1904,225,36,189,142,116,153,105,1066,243,28,72,514,85,256,129
bicanthalis,-97.13333,19.62889,132,124,65,1904,225,36,189,142,116,153,105,1066,243,28,72,514,85,256,129
bicanthalis,-97.109,19.637,122,124,66,1862,216,29,187,132,108,144,96,1081,265,26,76,540,82,239,132
bicanthalis,-97.106,19.648,122,124,66,1862,216,29,187,132,108,144,96,1081,265,26,76,540,82,239,132
bicanthalis,-97.1,19.637,122,124,66,1862,216,29,187,132,108,144,96,1081,265,26,76,540,82,239,132
bicanthalis,-97.1,19.633,122,124,66,1862,216,29,187,132,108,144,96,1081,265,26,76,540,82,239,132
bicanthalis,-97.1,19.54,102,131,70,1471,194,9,185,108,91,119,81,1434,281,32,83,802,101,355,120
bicanthalis,-97.099,19.599,109,129,69,1621,201,16,185,117,97,127,86,1139,234,28,76,594,89,282,116
bicanthalis,-97.083,19.633,130,120,64,1905,223,38,185,141,115,152,104,1238,291,31,73,603,102,277,159
bicanthalis,-97.069,19.624,120,125,67,1789,212,27,185,129,106,140,95,1206,270,29,75,619,93,276,137
bicanthalis,-97.068,18.386,134,146,70,1502,238,31,207,140,124,151,112,1372,278,15,84,751,67,319,137
bicanthalis,-97.067,19.637,130,120,64,1905,223,38,185,141,115,152,104,1238,291,31,73,603,102,277,159
bicanthalis,-97.067,19.633,130,120,64,1905,223,38,185,141,115,152,104,1238,291,31,73,603,102,277,159
bicanthalis,-97.05,19.617,120,125,67,1789,212,27,185,129,106,140,95,1206,270,29,75,619,93,276,137
bicanthalis,-97.05,18.368,138,145,69,1559,242,34,208,144,143,156,115,1369,280,15,85,755,64,317,132
bicanthalis,-96.96,17.8,249,138,62,2355,358,136,222,264,216,278,216,495,109,3,100,293,11,148,11
bicanthalis,-96.928,19.545,177,97,59,2033,257,95,162,191,156,199,148,1656,314,52,68,768,162,447,163
bicanthalis,-96.908,19.535,185,96,59,2069,265,103,162,202,163,207,155,1596,286,52,65,702,161,461,164
bicanthalis,-96.896,19.609,191,98,57,2225,275,106,169,208,167,215,160,1536,285,50,62,667,156,429,168
bicanthalis,-96.852,17.801,151,139,67,1535,255,50,205,156,142,170,130,1205,242,13,87,656,45,304,106
bicanthalis,-96.843,18.875,223,119,63,2160,316,129,187,238,199,246,192,2188,396,44,79,1129,136,582,146
bicanthalis,-96.817,19.5,199,101,59,2194,283,113,170,215,174,222,168,1304,252,36,71,615,112,380,120
bicanthalis,-96.801,17.838,124,139,70,1288,225,27,198,129,117,140,106,1823,339,24,81,959,87,441,192
bicanthalis,-96.787,17.82,144,137,68,1451,246,45,201,151,135,162,124,1357,268,15,84,722,55,332,135
bicanthalis,-96.775,18.91,230,120,63,2143,323,135,188,248,206,252,198,1827,329,40,78,928,128,503,129
bicanthalis,-96.503,17.446,132,132,71,1178,227,42,185,136,127,147,116,1635,305,20,82,858,78,154,143
bicanthalis,-96.45,19.333,255,107,60,2281,338,161,177,271,228,277,221,1188,288,12,104,755,45,280,48
bicanthalis,-96.368,19.225,257,103,58,2362,339,164,175,274,248,281,222,1146,284,11,105,728,36,263,41
cautus,-102.466,23.8,166,183,66,3386,300,24,276,197,151,204,119,335,64,6,75,171,22,163,35
cautus,-101.79,24.71,195,181,62,4013,336,48,288,240,176,240,138,406,94,5,87,233,22,233,38
cautus,-101.683,23.7,169,186,69,2924,300,31,269,193,160,201,128,342,64,3,67,168,20,159,43
cautus,-101.45,24.22,183,188,66,3605,323,39,284,216,167,223,132,332,62,6,63,161,29,146,41
cautus,-101.26,24.68,197,179,59,4507,346,47,299,249,149,249,136,403,76,7,67,197,34,197,44
cautus,-101.116,23.133,173,165,63,3120,304,43,261,207,166,207,128,394,61,4,60,171,30,171,50
cautus,-101.02,25.04,188,174,56,5066,345,37,308,239,133,247,120,424,70,10,57,188,42,176,48
cautus,-101,22.366,183,167,66,2492,305,55,250,199,159,209,147,347,62,7,72,163,28,110,29
cautus,-100.883,24.633,189,175,60,4164,333,43,290,238,145,238,132,376,61,9,56,162,37,162,43
cautus,-100.783,25.283,166,150,58,3961,293,36,257,204,121,211,111,420,66,10,57,194,42,178,47
cautus,-100.32,24.846,161,155,66,2649,273,40,233,185,132,191,124,436,57,15,35,149,61,139,79
cautus,-100.3,24.676,167,161,66,2755,284,42,242,199,137,199,129,373,47,14,36,126,52,126,65
cautus,-100.3,24.142,183,168,64,3232,306,46,260,213,151,219,138,335,50,9,52,132,45,124,49
cautus,-100.24,24.682,169,159,66,2655,283,45,238,193,140,199,132,384,48,14,38,132,51,130,63
cautus,-100.235,24.941,137,146,66,2275,242,24,218,156,110,162,104,599,97,22,52,248,74,209,78
cautus,-100.21,24.56,171,161,66,2739,287,44,243,202,142,202,133,359,48,14,44,132,46,132,52
cautus,-100.19,24.69,162,157,67,2517,273,40,233,184,134,190,127,454,66,17,45,169,58,154,67
cautus,-100.17,24.68,162,157,67,2517,273,40,233,184,134,190,127,454,66,17,45,169,58,154,67
cautus,-100.05,24.733,176,156,66,2476,286,53,233,198,149,204,142,459,69,14,50,182,48,167,58
cautus,-100.03,24.65,164,155,67,2395,272,43,229,185,138,191,130,539,93,17,57,225,57,187,63
cautus,-100.02,24.64,164,155,67,2395,272,43,229,185,138,191,130,539,93,17,57,225,57,187,63
cautus,-99.995,24.592,157,154,68,2338,264,38,226,178,132,184,125,600,111,19,60,256,62,208,65
cautus,-99.983,21.983,217,145,58,3381,337,90,247,242,187,252,170,495,103,5,78,256,27,202,47
cautus,-99.97147,22.73381,221,151,58,3585,340,81,259,254,185,257,170,497,87,9,72,239,38,223,40
cautus,-99.902,24.724,181,152,65,2635,290,57,233,206,153,211,145,616,122,16,68,282,50,252,52
cautus,-99.840195,22.58206,219,148,58,3525,338,83,255,246,184,255,169,611,114,11,78,318,42,262,43
cautus,-99.6,22.4,204,147,59,3316,322,74,248,228,170,239,157,633,154,10,88,340,38,254,42
cautus,-99.54,24.64,226,140,49,4959,360,75,285,259,157,283,157,863,167,20,67,371,68,320,68
clarkii,-112.8747,32.0417,214,155,45,6933,391,51,340,302,239,303,129,213,45,2,66,99,9,77,56
clarkii,-112.82323,34.41974,143,180,48,7097,342,-29,371,234,169,237,58,418,68,7,48,157,35,127,120
clarkii,-112.7722,34.184288,154,176,48,7086,350,-16,366,245,180,248,69,425,67,7,47,154,34,123,128
clarkii,-112.74978,34.2335,133,165,47,6931,323,-28,351,222,159,226,50,503,80,9,49,187,41,153,152
clarkii,-112.7493,34.22523,133,165,47,6931,323,-28,351,222,159,226,50,503,80,9,49,187,41,153,152
clarkii,-112.74307,34.22607,133,165,47,6931,323,-28,351,222,159,226,50,503,80,9,49,187,41,153,152
clarkii,-112.62,31.7,207,171,49,6707,385,37,348,292,232,293,124,245,52,1,68,116,8,88,64
clarkii,-112.449343,28.877293,215,159,54,5138,360,70,290,282,228,282,150,148,29,1,70,71,3,71,48
clarkii,-112.4117,34.6058,125,166,46,7141,316,-43,359,214,153,219,38,452,80,11,52,191,45,161,115
clarkii,-112.35,30.96,207,179,51,6430,380,31,349,289,229,289,125,208,51,1,89,119,4,119,54
clarkii,-112.348216,29.099772,221,162,54,5301,368,71,297,290,236,290,154,139,31,1,77,69,3,69,44
clarkii,-112.25,31.23,199,176,50,6530,374,26,348,281,222,282,117,277,64,2,81,152,8,120,71
clarkii,-112.06226,33.337124,206,169,46,7451,396,30,366,299,237,303,114,249,36,3,48,87,16,67,79
clarkii,-112.01,30.69,209,186,51,6615,386,25,361,292,232,292,124,235,57,1,85,135,8,135,53
clarkii,-111.94,28.83,237,155,52,5456,379,86,293,307,254,307,167,132,30,1,77,72,4,72,35
clarkii,-111.94,28.82,237,155,52,5456,379,86,293,307,254,307,167,132,30,1,77,72,4,72,35
clarkii,-111.88333,30.7,207,189,51,6656,386,22,364,291,231,291,122,254,65,2,86,148,9,148,56
clarkii,-111.81953,33.413254,214,168,45,7592,406,35,371,308,246,312,119,217,31,3,45,76,15,59,67
clarkii,-111.81662,33.907726,170,164,46,7106,362,8,354,85,197,264,85,510,67,7,46,168,37,126,168
clarkii,-111.81624,33.911667,170,164,46,7106,362,8,354,85,197,264,85,510,67,7,46,168,37,126,168
clarkii,-111.81624,33.88265,170,164,46,7106,362,8,354,85,197,264,85,510,67,7,46,168,37,126,168
clarkii,-111.79224,33.733368,190,161,45,7247,380,25,355,103,218,285,103,417,53,6,46,139,30,99,139
clarkii,-111.76101,34.86972,151,171,46,7338,352,-19,371,242,181,248,61,476,58,9,37,153,52,117,136
clarkii,-111.683,29,238,156,52,5580,381,85,296,309,256,309,167,172,45,1,90,106,3,106,41
clarkii,-111.58733,31.95,155,138,45,6391,315,9,306,232,183,239,78,534,101,8,66,257,32,211,139
clarkii,-111.55,28.633,242,147,51,5444,378,94,284,310,260,310,172,179,39,0,94,114,5,114,40
clarkii,-111.4756,33.825127,179,167,45,7434,374,8,366,100,209,276,88,488,61,7,45,162,35,114,162
clarkii,-111.468956,33.842403,163,166,46,7203,356,-3,359,86,191,258,76,554,72,8,45,183,42,135,182
clarkii,-111.466,28.8,241,150,51,5567,380,90,290,311,260,311,170,187,51,1,97,121,5,121,41
clarkii,-111.442635,33.553658,203,155,43,7544,391,37,354,111,235,302,111,390,50,5,45,127,27,93,127
clarkii,-111.42,30.86,200,185,52,6516,375,24,351,283,224,283,120,354,90,4,89,208,19,180,73
